Date,Open,High,Low,Close,Total Trade Quantity
07-Feb-19,1062.53,1065,1052.93,1058.62,3608654
08-Feb-19,1056,1072.47,1053.32,1061.32,6117822
11-Feb-19,1056.65,1071.45,1056.65,1069.82,3518182
12-Feb-19,1069,1074,1062.4,1064.85,4886194
13-Feb-19,1067.78,1077.5,1066.15,1071.72,4720374
14-Feb-19,1070,1070,1052.8,1055.1,3720694
15-Feb-19,1053.68,1054.05,1039.1,1050.32,4208262
18-Feb-19,1053.4,1059,1043,1044.95,3569372
19-Feb-19,1044.85,1054.07,1039.1,1042.03,2634318
20-Feb-19,1044.25,1055.5,1040.95,1054.18,2446250
21-Feb-19,1050.85,1059.97,1046.8,1057.95,2630772
22-Feb-19,1059.7,1064.05,1044.55,1045.72,4445354
25-Feb-19,1047.57,1064.97,1047.57,1062.7,4070298
26-Feb-19,1055.62,1062.5,1050.55,1055.32,4803714
27-Feb-19,1058.05,1062.22,1044.07,1046.12,3515046
28-Feb-19,1046.55,1052.93,1036.6,1038.78,5822688
01-Mar-19,1043.12,1050.45,1038.5,1041.68,4676464
05-Mar-19,1044.45,1055.55,1035,1053.55,5918638
06-Mar-19,1055,1055.15,1045.28,1052.12,4229022
07-Mar-19,1054.8,1065,1047.5,1063.25,5102426
08-Mar-19,1057.53,1065,1054.72,1064.1,3526730
11-Mar-19,1066,1071.85,1061.1,1064.22,4612054
12-Mar-19,1073.5,1087.5,1068.5,1085.5,7548646
13-Mar-19,1087.5,1117,1086.05,1113.28,28583174
14-Mar-19,1122.43,1123.75,1105.3,1112.38,7689932
15-Mar-19,1115.5,1129.95,1114.03,1126.5,6381544
18-Mar-19,1130.95,1145.82,1123.5,1130.72,7179360
19-Mar-19,1134.75,1137.95,1125.5,1133.88,5978996
20-Mar-19,1134.5,1150,1130.53,1149.5,5855996
22-Mar-19,1150,1153.5,1135.4,1138.07,15201940
25-Mar-19,1130,1143.93,1126.5,1140.65,4599630
26-Mar-19,1137.95,1157.5,1136.3,1155.68,5893424
27-Mar-19,1159.28,1164.03,1139.53,1149.72,6942650
28-Mar-19,1149.4,1162.5,1143.93,1151.4,9777164
29-Mar-19,1152.3,1162.5,1147,1159.45,5973484
01-Apr-19,1162.62,1166,1152.3,1155.9,4823538
02-Apr-19,1160,1160,1142.72,1147.43,5455248
03-Apr-19,1146.05,1158,1144.12,1146.38,3829726
04-Apr-19,1146.38,1156.5,1140,1141.97,4605776
05-Apr-19,1143.9,1156.88,1141,1152.8,4175590
08-Apr-19,1159.5,1161.47,1140.05,1144.7,3199066
